Author Surname,Date,Author First name,Title of Work,Publisher,Place of Publication,Format of Work,Copy Payee Surname,Copy Payee First Name,Amount,Sheets,Book Price in Decimal,Gender,Number of Pages,Genre of Work,Payment:Sheet Ratio,Copyright Purchaser Surname,Simplified Author Surname for sorting
Toland,1701,John,"The art of governing by partys: particularly, in religion, in politics, in Parlament, on the Bench, and in the Ministry; with the ill effects of partys on the people in general, the King in particular, and all our foren Affairs; as well as on our Credit and Trade, in Peace or War, &c.","Printed for Bernard Lintott, at the Post-House in the Midle-Temple-Gate, Fleet-Street.",London,8,Toland,John,20,7.916666667,0.15,Male,190,Prose--Politics,2.526315789,Lintot,Toland
Toland,1701,John,"Anglia libera: or the limitation and succession of the crown of England explain’d and asserted; as grounded on His Majesty’s speech; The Procedings in Parlament; The Desires of the People, The Safety of our Religion; The Nature of our Constitution; The Balance of Europe; And The Rights of all Mankind.","Printed for Bernard Lintott, at the Posthouse in the Middle-Temple Gate, Fleet-Street.",London,8,Toland,John,10.75,4.416666667,0.175,Male,106,Prose--Politics,2.433962264,Lintot,Toland
Farquhar,1702,George,"A new collection of poems and letters, &c. All written by Mr. Geo. Farquhar",Printed for Ber. Lintott.,London,8,Farquhar,George,3.225,7.5,0.1,Male,180,Verse and Letters,0.43,Lintot,Farquhar
Toland,1702,John,"Vindicius liberius: or, M. Toland’s defence of himself, against the late Lower House of Convocation, and others; wherein (besides his letters to the prolocutor) certain passages of the book, intitul’d, Christianity not mysterious, are explain’d, ...",Printed for Bernard Lintott.,London,8,Toland,John,5.25,7.166666667,0.125,Male,172,Prose--Religion,0.73255814,Lintot,Toland
Baker,1703,Thomas,"Tunbridge-Walks: or, the Yeoman of Kent","Printed for Bernard Lintott, at the Middle Temple-Gate, Fleetstreet.",London,4,Baker,Thomas,32.25,3.333333333,0.075,Male,80,Drama--Comedy,9.675,Lintot,Baker
Centlivre,1703,Susanna,"Love’s contrivance: or, Le medecin malgré lui",Printed for Bernard Lintott at the Middle-Temple Gate in Fleetstreet.,London,4,Centlivre,Susanna,10,3.333333333,0.075,Female,80,Drama--Comedy,3,Lintot,Centlivre
Farquhar,1703,George,The twin-rivals,"Printed for Bernard Lintott, at the Post-House in the Middle-Temple-Gate in Fleetstreet.",London,4,Farquhar,George,15,3.333333333,0.075,Male,80,Drama--Comedy,4.5,Lintot,Farquhar
Anon,1703,Richard,"Vice Reclaim’d: or, The Passionate Mistress","Printed for Bernard Lintott, at the Middle-Temple-Gate in Fleet-Street.",London,4,Wilkinson,Richard,10.75,3.333333333,0.075,Male,80,Drama--Comedy,3.225,Lintot,Wilkinson
Trapp,1704,Joseph,"Abra-Mule: or, Love and Empire","Printed for Jacob Tonson, within Grays-Inn Gate, next Grays-Inn Lane.",London,4,Trapp,Joseph,21.5,3.333333333,0.075,Male,80,Drama--Tragedy,6.45,Tonson,Trapp
Steele,1704,"Richard, Sir","The Lying Lover: or, The Ladies Friendship",Printed for Bernard Lintott at the Middle-Temple-Gate in Fleet street.,London,4,Steele,Sir Richard,21.5,0.916666667,0.075,Male,22,Drama--Comedy,23.45454545,Lintot,Steele
Toland,1704,John,"Letters to Serena: containing, I. The origin and force of prejudices. II. The History of the Soul’s Immortality among the Heathens. III. The Origin of Idolatry, and Reasons of Heathenism. As also, IV. A letter to a gentleman in Holland, showing Spinosa’s System of Philosophy to be without any Principle or Foundation. V. Motion essential to Matter; in Answer to some Remarks by a Noble Friend on the Confutation of Spinosa. To all which is prefix’d, VI. A preface; being a Letter to a Gentleman in London, sent together with the foregoing Dissertations, and declaring the several Occasions of writing them.",Printed for Bernard Lintot at the Middle-Temple Gate in Fleet street.,London,8,Toland,John,10,12.16666667,0.2,Male,292,Prose--Religion,0.821917808,Lintot,Toland
Psalmanazar,1705,George,"An Historical and Geographical Description of Formosa, 2nd edition","Printed for Mat. Wotton, Abel Roper and B. Lintott, in Fleetstreet; Fr. Coggan in the Inner-Temple-Lane, G. Strahan and W. Davis in Cornhill",London,8,Psalmanazar,George,12.6,14.66666667,0.3,Male,352,Prose--Philosophy,0.859090909,Uknown,Psalmanazar
Cibber,1706,Colley,Perolla and Izadora,"Printed for Bernard Lintott, at the Cross-Keys next to Nando’s Coffee-House, Fleet-Street.",London,4,Cibber,Colley,36.55,3,0.075,Male,72,Drama--Tragedy,12.18333333,Lintot,Cibber
Farquhar,1706,George,The Recruiting Officer,Printed for Bernard Lintott at the Cross Keys next Nando’s Coffee-House near Temple-Bar.,London,4,Farquhar,George,16.125,3.333333333,0.075,Male,80,Drama--Comedy,4.8375,Lintot,Farquhar
Cibber,1707,Colley,"Lady’s Last Stake, or, the Wife's Resentment.","Printed for Bernard Lintott, at the Cross-Keys next Nando's Coffee-House in Fleet-Street.",London,4,Cibber,Colley,32.25,3.583333333,0.075,Male,86,Drama--Comedy,9,Uknown,Cibber
